name,description,status,created,ministry
Hired Equipment Tracking System,"The BC Ministry of Transportation's Hired Equipment Program is for owners and operators who have a dump truck, bulldozer, back hoe or other piece of equipment they want to hire out to the Transportation Ministry for day labour and emergency projects. The Hired Equipment Program distributes available work to local equipment owners. The program is based on seniority and is designed to deliver work to registered users fairly and efficiently through the development of local area call out lists.",active,2021-03-05T04:56:38.776Z,TRAN
BC Developers Exchange,"The BC developers exchange website is the front door to platform services, the  Lab, and services offered by the wider community such as learning opportunities and community.",active,2021-01-15T03:54:49.246Z,CITZ
AG PSSG Document Processing System,"AG PSSG Document Processing System API micro services are used for retrieving, processing and validating fax to email documents received from OCIO AccuRoute service, and or have been processed by the Kofax subsystem for OCR and ICR. ",active,2021-01-12T17:33:59.867Z,AG
Create a new Business,Portal to Registry Business Applications,active,2021-01-27T02:30:56.567Z,CITZ
USER ID MGMT,This application is used for managing roles and description across the education ministry.,active,2021-02-12T05:34:42.816Z,EDUC
Sbc Auth,Authentication and other services used by Service BC applications,active,2021-01-06T04:06:20.676Z,CITZ
AG PSSG ECM Administration and Licensing,"This application provides AG PSSG sectors with User Administration and Licensing tooling for the AG PSSG Enterprise Case Management (ECM) PaaS. It interacts with solution component APIs such as MS Dynamics and MS SharePoint to centralize User Management and Licensing in to one place, facilitating delegated user management to the sectors ISB.",active,2021-01-12T17:53:31.619Z,AG
SPI,"Species Inventory System SPI,WIOF,SIWE",active,2021-02-11T01:49:33.334Z,ENV
PECSF 1,"Charitable giving application for BC Public Service employees to sign up for payroll deductions, support annual giving campaigns and connect with other employee volunteers. ",active,2021-01-15T06:40:54.620Z,PSA
CeeVee,Frontend to NRM Vulnerability Detection tooling,active,2022-03-03T02:31:28.325Z,EAO
EMBC Emergency Support Services,"EMBC Emergency evacuee and registration assistance tool. Using the various portals as a part of this application evacuees can pre resister themselves, volunteers can assist evacuees, and suppliers are able to submit their invoice and documents. These namespaces will host the R2 production release that is integrated with with sectors ECM PaaS. ",active,2021-03-23T15:49:57.717Z,PSSG
Capstone,An OpenShift hosted responsive web solution demonstrating the use of telemetry to validate the CITZ IMB Solution Playbook,active,2021-03-26T03:25:05.130Z,CITZ
names examination,Registry Name Examination for requested business names,active,2021-10-15T03:36:38.438Z,CITZ
Prov Court Scheduling System Integration,"PCSS is a web application for Provincial Court staff to that is used as the provincial court schedule system. Managed by Provincial Judiciary except for the web services to the JUSTIN database. ",active,2021-10-16T15:42:44.521Z,AG
OpenShift Lab Training,OCP Namespaces that will host assorted Platform Services OCP Lab Training,active,2021-10-27T23:29:02.421Z,CITZ
